epoch,train_loss,val_loss,mae_pronunciation,mae_accent,mae_fluency,mae_prosody
1,0.010471274092560634,0.006087346989195794,0.10136032104492188,0.08625023812055588,0.07480151206254959,0.08096501231193542
2,0.004758428886241745,0.004361358015332371,0.08680319041013718,0.06824713200330734,0.06173271685838699,0.06198818236589432
3,0.003620210360881174,0.0048146119476296005,0.08737533539533615,0.07048266381025314,0.06608682870864868,0.06502950936555862
4,0.00302415362308966,0.00574462601961568,0.0868477001786232,0.07146640121936798,0.06982531398534775,0.06779182702302933
5,0.00261435164915747,0.004370962890330702,0.08183875679969788,0.06571763008832932,0.06478600949048996,0.060694511979818344
